#
# ROCS Version - 6.84
#
# Save/Restore:  EBIT_L130_2016_07_20_201229_014N006_4000kV.set
#
# NOTE:  Save set with beam to end of line. Scaled from last
# NOTE:  75Ga26+ through BTS33. Second set of quads in S-Bend were
# NOTE:  decreased, as that save seems to have neglected this
# NOTE:  beneficial change in optics. Energy only measured with
# NOTE:  D1155 dipole, and D1296 field was set, but cavity was not
# NOTE:  re-adjusted. Beam does go through all apertures but the
# NOTE:  last two in BTS33. Dipoles NOT cycled. Object and Image of
# NOTE:  beam (D1256/D1316) NOT optimized. Goal was just to verify
# NOTE:  scaling with 75Ga26+ tune could get beam to the end OK.
# NOTE:  Transmission from L044 to L110 is ~69%, from L044 to D1420
# NOTE:  is ~55%.
# 
# BEAM:  Energy:  4000  keV/u
# BEAM:  Driver:  DBC
# 
# BEAM:  Current Monitor           Current       % Ratio      % Source    Units
# ____________________________________________________________________________________________
# 
# BEAM:  L044                        295.0        Source        Source    picoAmps
# BEAM:  L053                        294.0         99.66         99.66    picoAmps
# BEAM:  L061                        268.0         91.16         90.85    picoAmps
# BEAM:  L080                        187.0         69.78         63.39    picoAmps
# BEAM:  L092                        197.0        105.35         66.78    picoAmps
# BEAM:  L110                        204.0        103.55         69.15    picoAmps
# ____________________________________________________________________________________________
# ____________________________________________________________________________________________
# 
# SET CHANNEL                     SET VALUE     READCHANNEL                           READBACK
# ____________________________________________________________________________________________
# 
L019DE_SETV                        3476.744     L019DE                            3479.3621826
L018TAI_SETV                        524.931     L018TAI                             -2.5095372
L018DHI_SETV                       -353.931     L018DHI                             -0.6839695
L018DVI_SETV                        216.043     L018DVI                            222.5585938
L018TBI_SETV                      -2211.840     L018TBI                          -1100.5949988
L018TCI_SETV                       1661.214     L018TCI                           1663.2697144
L016DHI_SETV                         12.974     L016DHI                             12.4399514
L016DVI_SETV                        -93.712     L016DVI                            -96.3232803
LEGUNCA.SETV                      -2500.000     LEGUNCA                          -2502.8227539
LEGUNAN.SETV                       1050.000     LEGUNAN                           1051.0574951
LEGUNFOC.SETV                     -2600.000     LEGUNFOC                         -2599.3530273
LEGUNSNB.SETV                         2.700     LEGUNSNB                             2.6942046
LEGUNSN1.SETV                         1.250     LEGUNSN1                             1.2576983
LEGUNSN2.SETV                         2.820     LEGUNSN2                             2.8252203
LEGUNSN3.SETV                         2.900     LEGUNSN3                             2.8892179
LTE6.SETV                          1000.000     LTE6                               999.7557983
LTE5.SETV                          2800.000     LTE5                              2800.0043945
LTE4.SETV                          3200.000     LTE4                              3198.0703125
LTE3_V_SET                            0.000     LTE3_V_RD                          130.1309204
LTE2_V_SET                            0.000     LTE2_V_RD                        10250.0000000
LTE1.SETV                          3175.000     LTE1                              3174.4436035
LTRAP.SETV                         3175.000     LTRAP                             3174.7565918
LTC1I.SETV                         3176.000     LTC1I                             3178.7604980
LTC1B.SETV                            0.000     LTC1B                            13248.9541016
LTC1E.SETV                            0.000     LTC1E                            14592.5673828
LTC2.SETV                          3176.000     LTC2                              3175.2050781
LTC10.SETV                         2000.000     LTC10                             2000.4500732
LTC11I.SETV                        3100.000     LTC11I                            3089.2065430
LTC11B.SETV                           0.000     LTC11B                            2786.5534668
LTC11E.SETV                        3300.000     LTC11E                            3315.4067383
LTC12.SETV                         1500.000     LTC12                             1500.5721436
LTEL.SETV                          -900.000     LTEL                             -1506.5612793
LCOLLSN.SETV                          0.600     LCOLLSN                              0.5993225
LCOLL1.SETV                           0.000     LCOLL1                              -3.0518510
LCOLL2.SETV                        -700.000     LCOLL2                            -699.9420166
LCOLL3.SETV                       -3500.000     LCOLL3                           -3500.4729004
LACCOLI.SETV                      -5000.000     LACCOLI                          -5029.3100586
LACCOLE.SETV                      -5000.000     LACCOLE                          14445.1582031
LACCOLEL.SETV                     -1200.000     LACCOLEL                         -1161.1153564
REA_EBIT1:EIN_D0855:V_CSET        -4000.000     REA_EBIT1:EIN_D0855:V_RD         -3994.8003540
REA_EBIT1:DCH_D0855:V_CSET          300.000     REA_EBIT1:DCH_D0855:V_RD           299.6762695
REA_EBIT1:DCV_D0855:V_CSET          800.000     REA_EBIT1:DCV_D0855:V_RD           802.0571289
L016DHE_SETV                        482.910     L016DHE_VAL                        483.5435944
L016DVE_SETV                        673.000     L016DHE_VAL                        483.5435944
L018TAE_SETV                      -1040.571     L018TAE_VAL                      -1042.0042114
L018DHE_SETV                        259.000     L018DHE_VAL                        259.3896484
L018DVE_SETV                       -282.000     L018DVE_VAL                       -274.4729004
L018TBE_SETV                       2242.053     L018TBE_VAL                       2250.3005371
L018TCE_SETV                       -823.134     L018TCE                           -809.4024963
L024TA_SETV                       -1683.362     L024TA_VAL                       -1683.3527832
L024DH_SETV                           0.000     L024DH_VAL                          -0.0517578
L024DV_SETV                           0.000     L024DV_VAL                           0.6398926
L024TB_SETV                        2917.137     L024TB_VAL                        2917.3082886
L024TC_SETV                       -1694.683     L024TC_VAL                       -1694.6753540
L026DH_SETV                           0.000     L026DH_VAL                           0.0081404
L026DV_SETV                           0.000     L026DV_VAL                          -0.0063760
L028DE_SETV                        3677.010     L028DE_VAL                        3677.0035400
L030DV_SETV                           0.000     L030DV_VAL                           0.0183716
L030QS_SETV                        -688.971     L030QS_VAL                        -688.9694061
L032DE_SETV                        3677.010     L032DE_VAL                        3677.0070801
L034DH_SETV                           0.000     L034DH_VAL                           0.0184019
L034DV_SETV                           0.000     L034DV_VAL                          -0.0105171
L034XC-R_SETV                        -1.000     L034XC-R_VAL                           Channel
L034XG-R_SETV                        10.000     L034XG-R_VAL                           Channel
L035QA_SETV                        1412.249     L035QA_VAL                        1412.2532349
L035QB_SETV                       -1766.586     L035QB_VAL                       -1766.5858765
L039DS_SETV                          36.550     L039DS_VAL                          36.8234100
L039DS_VAL                         ReadOnly     L039DS_VAL                          36.8234100
L042DH_SETV                           0.000     L042DH_VAL                          -0.0018311
L042DV_SETV                           0.000     L042DV_VAL                           0.0172119
L042QA_SETV                       -1338.390     L042QA_VAL                       -1338.3963013
L042QB_SETV                         804.186     L042QB_VAL                         804.1878357
L044DH_SETV                          40.000     L044DH_VAL                          39.9937534
L044DV_SETV                         139.000     L044DV_VAL                         139.0007782
L044XC-R_VAL                       ReadOnly     L044XC-R_VAL                           Channel
L044XG-R_VAL                       ReadOnly     L044XG-R_VAL                           Channel
L045QA_SETV                        2746.200     L045QA_VAL                        2746.2023926
L045QB_SETV                       -3087.000     L045QB_VAL                       -3087.0031738
L048DH_SETV                           0.000     L048DH_VAL                           0.0026855
L048QA_SETV                        2597.000     L048QA_VAL                        2596.9936523
L048QB_SETV                       -2547.000     L048QB_VAL                       -2547.0062866
L049DE.SETV                           0.000     L049DE                              -0.8542803
L051DE.SETV                           0.000     L051DE                              -0.6870264
LB006DE.SETV                     -10106.324     LB006DE                              1.7098368
L054DH.SETV                           0.000     L054DH                               0.0019530
L054QA.SETV                        1558.000     L054QA                            1558.0100097
L054QB.SETV                       -1793.000     L054QB                           -1793.0079960
L057QA.SETV                        1452.780     L057QA                            1452.7866825
L057DH.SETV                          27.000     L057DH                              26.9860840
L057DV.SETV                        -157.000     L057DV                            -157.0063470
L057QB.SETV                       -1620.666     L057QB                           -1620.6755065
L059RF_F1_AMPL.SETV                  26.000     REA_MHB:RF_N0001:E_ACC              25.9859200
L059RF_F1_PHASE.SETV                245.000     REA_MHB:RF_N0001:PHA_CAV           244.8970642
L059RF_F2_AMPL.SETV                  28.000     REA_MHB:RF_N0002:E_ACC              27.9946404
L059RF_F2_PHASE.SETV                 42.000     REA_MHB:RF_N0002:PHA_CAV            42.0049210
L060SN.SETV                         158.100     L060SN                             158.0880000
L061-R.SETV                          90.000     L061-R                              88.6653991
L072XC-R.SETV                         0.000     L072XC-R                            -0.0374167
L072XG-R.SETV                        25.000     L072XG-R                            24.9868739
L072YC-R.SETV                         0.000     L072YC-R                            -3.0337637
L072YG-R.SETV                        25.000     L072YG-R                            30.9879636
L076SN.SETV                          15.700     L076SN                              15.6994705
L076DH.SETV                          -0.050     L076DH                              -0.0493142
L076DV.SETV                           0.850     L076DV                               0.8561081
L077RF_AMPL.SETV                      2.500     REA_CK01:RF_N0001:E_ACC              2.4989774
L077RF_PHASE.SETV                   228.000     REA_CK01:RF_N0001:PHA_CAV          228.0014038
L078SN.SETV                          -9.300     L078SN                              -9.2859411
L078DH.SETV                           0.830     L078DH                               0.8229584
L078DV.SETV                           0.470     L078DV                               0.4832754
L080-R.SETV                          90.000     L080-R                              87.6455741
L082RF_AMPL.SETV                     10.920     REA_CL01:RF_N0001:E_ACC             10.9190702
L082RF_PHASE.SETV                   120.000     REA_CL01:RF_N0001:PHA_CAV          120.0078430
L083SN.SETV                          21.900     L083SN                              21.9277573
L083DH.SETV                           0.000     L083DH                               0.0017121
L083DV.SETV                          -2.000     L083DV                              -1.9857831
L084RF_AMPL.SETV                     15.880     REA_CL01:RF_N0002:E_ACC             15.8807459
L084RF_PHASE.SETV                   263.000     REA_CL01:RF_N0002:PHA_CAV          263.0256042
L085RF_AMPL.SETV                     17.870     REA_CL01:RF_N0003:E_ACC             17.8685760
L085RF_PHASE.SETV                    62.000     REA_CL01:RF_N0003:PHA_CAV           62.0081329
L087SN.SETV                         -20.200     L087SN                             -20.2590466
L087DH.SETV                          -0.300     L087DH                              -0.3026954
L087DV.SETV                           0.200     L087DV                               0.1885892
L088RF_AMPL.SETV                     17.870     REA_CL01:RF_N0004:E_ACC             17.8656597
L088RF_PHASE.SETV                   216.000     REA_CL01:RF_N0004:PHA_CAV          216.0466919
L089RF_AMPL.SETV                     15.380     REA_CL01:RF_N0005:E_ACC             15.3819265
L089RF_PHASE.SETV                   103.000     REA_CL01:RF_N0005:PHA_CAV          103.0450821
L090SN.SETV                          20.600     L090SN                              20.5894966
L090DH.SETV                          -0.500     L090DH                              -0.4881049
L090DV.SETV                          -0.250     L090DV                              -0.2432279
L091RF_AMPL.SETV                     12.000     REA_CL01:RF_N0006:E_ACC             12.0003786
L091RF_PHASE.SETV                    50.000     REA_CL01:RF_N0006:PHA_CAV           50.0166473
L092-R.SETV                          89.683     L092-R                              89.6548739
L094RF_AMPL.SETV                      0.000     REA_CM01:RFC1_D1102:AMPL_RD_CAV      0.0009937
L094RF_PHASE.SETV                     0.000     REA_CM01:RFC1_D1102:PHA_RD_CAV     138.7154388
L096SN_SETV                         -21.950     L096SN_VAL                         -21.9310665
L096DH_SETV                           0.000     L096DH_VAL                           0.0268614
L096DV_SETV                          -0.000     L096DV_VAL                          -0.0398856
L097RF_AMPL.SETV                      4.200     REA_CM01:RFC2_D1111:AMPL_RD_CAV      4.1916451
L097RF_PHASE.SETV                   118.000     REA_CM01:RFC2_D1111:PHA_RD_CAV     117.9840546
L098RF_AMPL.SETV                      4.390     REA_CM01:RFC3_D1115:AMPL_RD_CAV      4.3901587
L098RF_PHASE.SETV                   278.000     REA_CM01:RFC3_D1115:PHA_RD_CAV     277.9989319
L100RF_AMPL.SETV                      4.150     REA_CM01:RFC4_D1118:AMPL_RD_CAV      4.1504211
L100RF_PHASE.SETV                   110.000     REA_CM01:RFC4_D1118:PHA_RD_CAV     109.9974213
L101SN_SETV                          24.800     L101SN_VAL                          24.7475681
L101DH_SETV                          -0.500     L101DH_VAL                          -0.4883440
L101DV_SETV                          -0.500     L101DV_VAL                          -0.5333784
L102RF_AMPL.SETV                      3.560     REA_CM01:RFC5_D1127:AMPL_RD_CAV      3.5603974
L102RF_PHASE.SETV                   195.000     REA_CM01:RFC5_D1127:PHA_RD_CAV     195.0087280
